2022-12-03 00:09:54,629 - ('suma minutpro bat1', -13.664131712913512)
2022-12-03 00:21:57,775 - ('suma minut vybiti pro bat1', -12.035538689295452)
2022-12-03 00:22:42,226 - ('bat2 nabiti', -0.7237932801246643)
2022-12-03 00:23:12,950 - ('bat2 vybiti', -0.4951793392499288)
2022-12-03 00:36:52,597 - ('suma minutpro bat1', -13.660599462191264)
2022-12-03 00:49:12,033 - ('suma minut vybiti pro bat1', -12.307051340738932)
2022-12-03 00:49:56,503 - ('bat2 nabiti', -0.7240980307261149)
2022-12-03 00:50:30,860 - ('bat2 vybiti', -0.5557444413503011)
2022-12-03 01:04:20,435 - ('suma minutpro bat1', -13.825957373778026)
2022-12-03 01:16:24,836 - ('suma minut vybiti pro bat1', -12.056464127699535)
2022-12-03 01:17:09,307 - ('bat2 nabiti', -0.7240976651509603)
2022-12-03 01:17:39,980 - ('bat2 vybiti', -0.49432672262191774)
2022-12-09 22:37:54,632 - ('bat2 nabiti', -0.7224058985710144)
2022-12-09 22:38:21,332 - ('bat2 vybiti', -0.42807170152664187)
2022-12-09 22:41:11,128 - ('bat2 nabiti', -9.123484293619791e-06)
2022-12-09 23:22:23,751 - ('bat2 nabiti', -0.723126248518626)
2022-12-09 23:22:54,150 - ('bat2 vybiti', -0.48979800939559937)
2022-12-09 23:45:19,481 - ('suma minutpro bat1', -22.42203705708186)
2022-12-09 23:56:18,876 - ('suma minut vybiti pro bat1', -10.973115102450054)
2022-12-09 23:56:42,232 - ('bat2 nabiti', -0.3720084547996521)
2022-12-09 23:56:50,545 - ('bat2 vybiti', -0.1217853307723999)
2022-12-09 23:57:32,954 - ('suma minutpro bat1', -0.7066139539082845)
2022-12-09 23:58:36,614 - ('suma minut vybiti pro bat1', -1.0442261377970377)
2022-12-10 00:26:26,747 - ('bat2 nabiti', -0.37213493982950846)
2022-12-10 00:26:35,087 - ('bat2 vybiti', -0.12219998041788736)
2022-12-10 00:27:17,457 - ('suma minutpro bat1', -0.7057806293169657)
2022-12-10 00:35:52,215 - ('bat2 nabiti', -0.3746325135231018)
2022-12-10 00:35:53,226 - ('bat2 vybiti', -4.7151247660319014e-05)
2022-12-10 00:39:35,851 - ('bat2 nabiti', -0.725411856174469)
2022-12-10 00:40:11,143 - ('bat2 vybiti', -0.5712894996007284)
2022-12-10 00:42:16,419 - ('bat2 nabiti', -0.012995310624440511)
2022-12-10 00:42:17,457 - ('bat2 vybiti', -6.049076716105143e-05)
2022-12-10 00:42:18,329 - ('suma minutpro bat1', -0.0143385648727417)
2022-12-10 00:48:14,308 - ('bat2 nabiti', -0.37319531043370563)
2022-12-10 00:48:15,320 - ('bat2 vybiti', -6.917317708333333e-05)
2022-12-10 00:50:42,207 - ('bat2 nabiti', -0.5417908231417338)
2022-12-10 00:50:43,218 - ('bat2 vybiti', -7.284084955851237e-05)
2022-12-10 00:50:44,526 - ('suma minutpro bat1', -0.02151466210683187)
2022-12-10 00:50:46,202 - ('suma minut vybiti pro bat1', -0.01114269495010376)
2022-12-10 01:12:38,938 - ('bat2 nabiti', -0.5381337722142537)
2022-12-10 01:12:39,951 - ('bat2 vybiti', -4.431804021199544e-05)
2022-12-10 01:12:41,235 - ('suma minutpro bat1', -0.02125783363978068)
2022-12-10 04:29:22,859 - ('bat2 nabiti', -0.5410727659861246)
2022-12-10 04:29:23,871 - ('bat2 vybiti', -6.99917475382487e-05)
2022-12-10 04:29:25,176 - ('suma minutpro bat1', -0.021524572372436525)
2022-12-10 04:35:48,516 - ('bat2 nabiti', -0.5381962696711222)
2022-12-10 04:35:49,533 - ('bat2 vybiti', -8.308490117390951e-05)
2022-12-10 04:35:50,813 - ('suma minutpro bat1', -0.021149988969167074)
2022-12-10 04:47:05,397 - ('bat2 nabiti', -0.37481476465861)
2022-12-10 04:47:06,407 - ('bat2 vybiti', -4.371802012125651e-05)
2022-12-10 04:48:11,241 - ('suma minutpro bat1', -1.0804113864898681)
2022-12-10 04:48:12,912 - ('suma minut vybiti pro bat1', -0.011067557334899902)
2022-12-10 04:48:46,927 - ('bat2 nabiti', -0.5394570509592692)
2022-12-10 04:48:47,950 - ('bat2 vybiti', -8.22305679321289e-05)
2022-12-10 04:48:49,228 - ('suma minutpro bat1', -0.021131483713785808)
2022-12-10 04:48:50,934 - ('suma minut vybiti pro bat1', -0.011514711380004882)
